    
Name                                     Id                                            Version
deepvocal toolbox                        Boxstar.deepvocal-toolbox                     1.1.6
deepvocal                                Boxstar.deepvocal                             1.1.6
BleachBit                                BleachBit.BleachBit                           4.0.0
bkchem                                   bkchem.bkchem                                 0.13.0
AXIS Camera Station                      AxisCommunications.AxisCameraStation          5.34.252
AuthPass                                 Authpass.Authpass                             1.7.9
Aurora                                   Aurora.Aurora                                 0.8.1
Strix Music                              ArloG.StrixMusic                              1.4.9.0
Xampp                                    ApacheFriends.Xampp                           7.4.8
SoundSwitch                              AntoineAflalo.SoundSwitch                     5.6.0
Miniconda3                               Anaconda.Miniconda3                           4.8.3
Anaconda Individual Edition              Anaconda.Anaconda3                            2020.11
AIMP                                     AIMP.AIMP                                     4.70.2236
Aegisub                                  Aegisub.Aegisub                               8975-master-8d77da3
7Zip - Alpha                             7zip.7zipAlpha                                20.0.2-alpha
7Zip                                     7zip.7zip                                     19.0.0
Markush Editor                           ChemAxon.markusheditor                        20.21.0
4K Video Downloader                      4KDownload.4KVideoDownloader                  4.13.3
Instant Jchem                            ChemAxon.instantjchem                         20.19.0
Primecount                               Primecount.Primecount                         6.1
qws                                      jamesbowden.qws                               1.56
quicker                                  cuiliang.quicker                              1.11.8
K-Lite Codec Pack Mega                   CodecGuide.K-LiteCodecPackMega                15.9.0
K-Lite Codec Pack Standard               CodecGuide.K-LiteCodecPackStandard            15.9.0
Kali Linux                               kalilinux.kalilinux                           1.1.9.0
TreeSize Professional Trial              JAMSoftware.TreeSize                          8.0.3.1507
Mini Program Studio                      alibaba.miniprogramstudio                     1.15.7
GLab                                     GLab.GLab                                     1.12.1
Ubisoft Connect                          Ubisoft.Connect                               117.0.0.10324
PowerBI Desktop                          Microsoft.PowerBI                             2.88.802.0
